admission_number,student_name,grade,section,total_fee,paid_amount,due_amount,late_fee,status
ADM-2026-00044,Rohan Iyer,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00045,Amit Menon,9th Grade,A,22000.0,10983.73,11016.27,0.0,PENDING_DUE
ADM-2026-00046,Sai Kumar,10th Grade,A,18000.0,5202.25,12797.75,1000.0,DEFAULT_AGED
ADM-2026-00047,Pari Mehta,9th Grade,B,12000.0,3534.07,8465.93,0.0,PENDING_DUE
ADM-2026-00048,Rohan Das,12th Grade,C,18000.0,12364.56,5635.44,0.0,PENDING_DUE
ADM-2026-00049,Ananya Gupta,12th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00050,Kavita Choudhury,11th Grade,C,22000.0,5148.49,16851.51,0.0,PENDING_DUE
ADM-2026-00051,Sneha Sharma,11th Grade,D,12000.0,6798.85,5201.15,0.0,PENDING_DUE
ADM-2026-00052,Diya Das,11th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00053,Amit Rao,11th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00054,Vivaan Reddy,11th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00055,Kavita Verma,9th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00056,Pankaj Verma,11th Grade,A,15000.0,8872.42,6127.58,0.0,PENDING_DUE
ADM-2026-00057,Arjun Bose,9th Grade,A,15000.0,4446.61,10553.39,0.0,PENDING_DUE
ADM-2026-00058,Vihaan Rao,11th Grade,A,12000.0,7495.84,4504.16,0.0,PENDING_DUE
ADM-2026-00059,Reyansh Bose,11th Grade,A,18000.0,4946.24,13053.76,0.0,PENDING_DUE
ADM-2026-00060,Priya Sen,9th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00061,Anjali Gupta,12th Grade,D,15000.0,4486.9,10513.1,0.0,PENDING_DUE
ADM-2026-00062,Reyansh Reddy,9th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00063,Pooja Nair,10th Grade,B,15000.0,8296.94,6703.06,0.0,PENDING_DUE
ADM-2026-00064,Neha Deshmukh,12th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00065,Pooja Kumar,9th Grade,D,18000.0,8091.6,9908.4,0.0,PENDING_DUE
ADM-2026-00066,Arjun Patel,11th Grade,C,22000.0,7158.8,14841.2,0.0,PENDING_DUE
ADM-2026-00067,Pari Sharma,10th Grade,D,18000.0,10276.9,7723.1,0.0,PENDING_DUE
ADM-2026-00068,Pankaj Verma,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00069,Vivaan Singh,9th Grade,B,12000.0,5494.17,6505.83,0.0,PENDING_DUE
ADM-2026-00070,Neha Joshi,11th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00071,Sanya Sharma,12th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00072,Ishaan Malhotra,11th Grade,B,12000.0,764.99,11235.01,250.0,DEFAULT_AGED
ADM-2026-00073,Aadhya Kumar,12th Grade,A,12000.0,5422.96,6577.04,0.0,PENDING_DUE
ADM-2026-00074,Vikas Das,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00075,Ayaan Mehta,12th Grade,B,15000.0,2651.84,12348.16,500.0,DEFAULT_AGED
ADM-2026-00076,Reyansh Pillai,12th Grade,A,18000.0,5585.21,12414.79,0.0,PENDING_DUE
ADM-2026-00077,Vikas Malhotra,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00078,Sai Singh,10th Grade,B,22000.0,9588.58,12411.42,0.0,PENDING_DUE
ADM-2026-00079,Anjali Patel,10th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00080,Aadhya Joshi,9th Grade,D,18000.0,2016.41,15983.59,1000.0,DEFAULT_AGED
ADM-2026-00081,Rahul Kumar,11th Grade,D,15000.0,3938.56,11061.44,0.0,PENDING_DUE
ADM-2026-00082,Rohan Verma,11th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00083,Karan Singh,10th Grade,B,18000.0,1337.93,16662.07,1000.0,DEFAULT_AGED
ADM-2026-00084,Karan Kumar,10th Grade,B,15000.0,4933.14,10066.86,0.0,PENDING_DUE
ADM-2026-00085,Aarav Malhotra,9th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00086,Rohan Patel,9th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00087,Vikas Sharma,11th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00088,Diya Rao,9th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00089,Meera Malhotra,10th Grade,A,18000.0,8722.54,9277.46,0.0,PENDING_DUE
ADM-2026-00090,Pari Gupta,10th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00091,Riya Joshi,12th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00092,Riya Gupta,12th Grade,B,22000.0,6165.97,15834.03,0.0,PENDING_DUE
ADM-2026-00093,Arjun Gupta,10th Grade,A,22000.0,11106.46,10893.54,0.0,PENDING_DUE
ADM-2026-00094,Amit Sen,11th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00095,Sanya Malhotra,10th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00096,Rahul Malhotra,11th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00097,Aadhya Nair,12th Grade,C,18000.0,3016.27,14983.73,500.0,DEFAULT_AGED
ADM-2026-00098,Ayaan Bose,9th Grade,B,22000.0,4424.79,17575.21,0.0,PENDING_DUE
ADM-2026-00099,Anjali Reddy,9th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00100,Meera Rao,12th Grade,B,15000.0,7527.58,7472.42,0.0,PENDING_DUE
ADM-2026-00101,Pankaj Menon,12th Grade,D,15000.0,8708.83,6291.17,0.0,PENDING_DUE
ADM-2026-00102,Diya Iyer,9th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00103,Pooja Verma,12th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00104,Krishna Rao,11th Grade,B,22000.0,14899.45,7100.55,0.0,PENDING_DUE
ADM-2026-00105,Ananya Mehta,12th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00106,Priya Iyer,12th Grade,D,12000.0,5792.7,6207.3,0.0,PENDING_DUE
ADM-2026-00107,Diya Nair,9th Grade,A,12000.0,5520.94,6479.06,0.0,PENDING_DUE
ADM-2026-00108,Aadhya Pillai,9th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00109,Priya Verma,11th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00110,Vihaan Sharma,11th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00111,Vihaan Choudhury,9th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00112,Arjun Sharma,9th Grade,D,12000.0,4160.32,7839.68,0.0,PENDING_DUE
ADM-2026-00113,Vivaan Malhotra,9th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00114,Ishaan Joshi,11th Grade,A,15000.0,3743.17,11256.83,0.0,PENDING_DUE
ADM-2026-00115,Pankaj Nair,9th Grade,C,22000.0,6806.05,15193.95,0.0,PENDING_DUE
ADM-2026-00116,Pari Reddy,12th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00117,Sai Iyer,9th Grade,C,22000.0,11431.39,10568.61,0.0,PENDING_DUE
ADM-2026-00118,Riya Singh,12th Grade,A,15000.0,3932.78,11067.22,0.0,PENDING_DUE
ADM-2026-00119,Anjali Sharma,12th Grade,A,22000.0,13925.98,8074.02,0.0,PENDING_DUE
ADM-2026-00120,Reyansh Das,12th Grade,B,15000.0,7236.35,7763.65,0.0,PENDING_DUE
ADM-2026-00121,Aadhya Deshmukh,11th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00122,Ayaan Mehta,11th Grade,A,12000.0,5227.68,6772.32,0.0,PENDING_DUE
ADM-2026-00123,Diya Singh,11th Grade,D,15000.0,8429.45,6570.55,0.0,PENDING_DUE
ADM-2026-00124,Pooja Mehta,12th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00125,Diya Malhotra,11th Grade,A,12000.0,387.46,11612.54,250.0,DEFAULT_AGED
ADM-2026-00126,Reyansh Nair,12th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00127,Arjun Patel,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00128,Pari Reddy,9th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00129,Riya Malhotra,11th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00130,Reyansh Kumar,9th Grade,A,12000.0,6541.74,5458.26,0.0,PENDING_DUE
ADM-2026-00131,Rohan Joshi,11th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00132,Kavita Iyer,11th Grade,A,22000.0,1529.49,20470.51,1000.0,DEFAULT_AGED
ADM-2026-00133,Pankaj Iyer,12th Grade,A,22000.0,11758.13,10241.87,0.0,PENDING_DUE
ADM-2026-00134,Pooja Mehta,11th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00135,Aadhya Patel,9th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00136,Kavita Deshmukh,11th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00137,Amit Sharma,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00138,Diya Menon,10th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00139,Meera Choudhury,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00140,Sanya Kumar,9th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00141,Priya Sen,12th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00142,Karan Bose,10th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00143,Karan Rao,10th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00144,Amit Das,9th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00145,Amit Verma,12th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00146,Priya Reddy,9th Grade,B,12000.0,2662.1,9337.9,0.0,PENDING_DUE
ADM-2026-00147,Sanya Singh,9th Grade,A,12000.0,2438.04,9561.96,0.0,PENDING_DUE
ADM-2026-00148,Sai Kumar,11th Grade,D,15000.0,3474.83,11525.17,0.0,PENDING_DUE
ADM-2026-00149,Kavita Verma,10th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00150,Ananya Gupta,9th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00151,Sanya Menon,10th Grade,B,22000.0,6110.27,15889.73,0.0,PENDING_DUE
ADM-2026-00152,Rohan Gupta,9th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00153,Meera Reddy,9th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00154,Amit Sharma,10th Grade,D,22000.0,11428.51,10571.49,0.0,PENDING_DUE
ADM-2026-00155,Pankaj Iyer,10th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00156,Neha Malhotra,12th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00157,Aarav Iyer,10th Grade,A,22000.0,8816.35,13183.65,0.0,PENDING_DUE
ADM-2026-00158,Vihaan Choudhury,10th Grade,A,15000.0,2459.63,12540.37,250.0,DEFAULT_AGED
ADM-2026-00159,Priya Pillai,10th Grade,B,12000.0,1688.81,10311.19,1000.0,DEFAULT_AGED
ADM-2026-00160,Ayaan Das,9th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00161,Amit Verma,12th Grade,A,12000.0,5821.06,6178.94,0.0,PENDING_DUE
ADM-2026-00162,Ayaan Das,9th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00163,Pari Patel,9th Grade,C,15000.0,2652.2,12347.8,500.0,DEFAULT_AGED
ADM-2026-00164,Reyansh Sen,9th Grade,B,22000.0,10361.17,11638.83,0.0,PENDING_DUE
ADM-2026-00165,Vihaan Reddy,11th Grade,A,12000.0,3656.24,8343.76,0.0,PENDING_DUE
ADM-2026-00166,Amit Rao,9th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00167,Diya Verma,11th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00168,Anjali Bose,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00169,Krishna Verma,9th Grade,B,18000.0,2402.12,15597.88,1000.0,DEFAULT_AGED
ADM-2026-00170,Riya Bose,10th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00171,Amit Patel,10th Grade,D,15000.0,6878.4,8121.6,0.0,PENDING_DUE
ADM-2026-00172,Aarav Deshmukh,9th Grade,C,18000.0,6545.91,11454.09,0.0,PENDING_DUE
ADM-2026-00173,Karan Kumar,10th Grade,A,18000.0,5261.28,12738.72,500.0,DEFAULT_AGED
ADM-2026-00174,Diya Mehta,10th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00175,Pari Gupta,9th Grade,A,12000.0,1025.35,10974.65,250.0,DEFAULT_AGED
ADM-2026-00176,Pari Malhotra,12th Grade,D,12000.0,5853.85,6146.15,0.0,PENDING_DUE
ADM-2026-00177,Pankaj Das,10th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00178,Vihaan Singh,12th Grade,A,22000.0,7111.74,14888.26,0.0,PENDING_DUE
ADM-2026-00179,Ishaan Patel,11th Grade,C,15000.0,5693.41,9306.59,0.0,PENDING_DUE
ADM-2026-00180,Amit Sharma,12th Grade,D,12000.0,5930.03,6069.97,0.0,PENDING_DUE
ADM-2026-00181,Arjun Gupta,10th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00182,Vihaan Verma,12th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00183,Karan Kumar,11th Grade,D,22000.0,15061.96,6938.04,0.0,PENDING_DUE
ADM-2026-00184,Pooja Gupta,12th Grade,C,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00185,Arjun Sharma,10th Grade,B,18000.0,11785.82,6214.18,0.0,PENDING_DUE
ADM-2026-00186,Vivaan Nair,11th Grade,D,15000.0,10439.94,4560.06,0.0,PENDING_DUE
ADM-2026-00187,Ayaan Sen,12th Grade,D,15000.0,6459.03,8540.97,0.0,PENDING_DUE
ADM-2026-00188,Amit Verma,10th Grade,D,12000.0,7061.28,4938.72,0.0,PENDING_DUE
ADM-2026-00189,Reyansh Choudhury,12th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00190,Pooja Joshi,11th Grade,D,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00191,Ishaan Choudhury,11th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00192,Neha Sen,10th Grade,A,18000.0,11764.4,6235.6,0.0,PENDING_DUE
ADM-2026-00193,Karan Deshmukh,10th Grade,C,18000.0,10212.79,7787.21,0.0,PENDING_DUE
ADM-2026-00194,Pankaj Kumar,9th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00195,Meera Sharma,9th Grade,D,22000.0,8534.32,13465.68,0.0,PENDING_DUE
ADM-2026-00196,Pankaj Verma,12th Grade,C,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00197,Pooja Nair,9th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00198,Karan Choudhury,11th Grade,B,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00199,Pari Singh,9th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00200,Diya Mehta,12th Grade,D,18000.0,3339.68,14660.32,250.0,DEFAULT_AGED
ADM-2026-00201,Sai Mehta,10th Grade,D,12000.0,4272.95,7727.05,0.0,PENDING_DUE
ADM-2026-00202,Pooja Gupta,10th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00203,Vivaan Gupta,9th Grade,A,12000.0,7786.54,4213.46,0.0,PENDING_DUE
ADM-2026-00204,Ayaan Bose,9th Grade,C,18000.0,4304.7,13695.3,0.0,PENDING_DUE
ADM-2026-00205,Pari Menon,12th Grade,C,18000.0,3702.11,14297.89,0.0,PENDING_DUE
ADM-2026-00206,Riya Choudhury,11th Grade,C,12000.0,2634.66,9365.34,500.0,DEFAULT_AGED
ADM-2026-00207,Arjun Sharma,12th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00208,Karan Choudhury,12th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00209,Anjali Singh,9th Grade,D,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00210,Rahul Bose,10th Grade,D,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00211,Aarav Gupta,11th Grade,B,18000.0,6794.84,11205.16,0.0,PENDING_DUE
ADM-2026-00212,Sanya Mehta,11th Grade,D,15000.0,9480.21,5519.79,0.0,PENDING_DUE
ADM-2026-00213,Reyansh Gupta,12th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00214,Ayaan Gupta,9th Grade,C,18000.0,1849.8,16150.2,1000.0,DEFAULT_AGED
ADM-2026-00215,Vikas Patel,9th Grade,B,18000.0,5550.27,12449.73,0.0,PENDING_DUE
ADM-2026-00216,Ishaan Deshmukh,10th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00217,Pooja Sharma,10th Grade,D,22000.0,1002.69,20997.31,1000.0,DEFAULT_AGED
ADM-2026-00218,Vikas Iyer,10th Grade,D,15000.0,3576.34,11423.66,0.0,PENDING_DUE
ADM-2026-00219,Arjun Nair,9th Grade,B,18000.0,540.42,17459.58,500.0,DEFAULT_AGED
ADM-2026-00220,Diya Bose,9th Grade,A,22000.0,13327.93,8672.07,0.0,PENDING_DUE
ADM-2026-00221,Arjun Rao,11th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00222,Neha Verma,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00223,Amit Iyer,11th Grade,D,22000.0,7594.22,14405.78,0.0,PENDING_DUE
ADM-2026-00224,Reyansh Nair,11th Grade,B,18000.0,8810.31,9189.69,0.0,PENDING_DUE
ADM-2026-00225,Priya Rao,12th Grade,B,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00226,Priya Singh,10th Grade,C,12000.0,5122.58,6877.42,0.0,PENDING_DUE
ADM-2026-00227,Vikas Rao,11th Grade,A,22000.0,280.31,21719.69,1000.0,DEFAULT_AGED
ADM-2026-00228,Vivaan Reddy,9th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00229,Rohan Joshi,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00230,Kavita Nair,12th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00231,Rahul Reddy,11th Grade,C,18000.0,3095.33,14904.67,1000.0,DEFAULT_AGED
ADM-2026-00232,Sai Malhotra,11th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00233,Pankaj Sharma,12th Grade,C,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00234,Aditya Pillai,12th Grade,D,18000.0,2050.95,15949.05,250.0,DEFAULT_AGED
ADM-2026-00235,Meera Singh,10th Grade,C,15000.0,3825.46,11174.54,250.0,DEFAULT_AGED
ADM-2026-00236,Sanya Das,11th Grade,A,18000.0,3814.65,14185.35,0.0,PENDING_DUE
ADM-2026-00237,Reyansh Nair,9th Grade,A,15000.0,4059.76,10940.24,1000.0,DEFAULT_AGED
ADM-2026-00238,Rahul Das,9th Grade,B,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00239,Karan Rao,10th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00240,Vivaan Choudhury,9th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00241,Aadhya Das,9th Grade,C,15000.0,4182.59,10817.41,500.0,DEFAULT_AGED
ADM-2026-00242,Sneha Choudhury,12th Grade,A,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00243,Diya Das,11th Grade,C,12000.0,6113.48,5886.52,0.0,PENDING_DUE
ADM-2026-00244,Aadhya Kumar,9th Grade,B,15000.0,4721.5,10278.5,0.0,PENDING_DUE
ADM-2026-00245,Ayaan Kumar,12th Grade,A,22000.0,11677.4,10322.6,0.0,PENDING_DUE
ADM-2026-00246,Pankaj Das,11th Grade,D,12000.0,6323.53,5676.47,0.0,PENDING_DUE
ADM-2026-00247,Vihaan Nair,11th Grade,C,15000.0,435.93,14564.07,1000.0,DEFAULT_AGED
ADM-2026-00248,Diya Patel,12th Grade,A,12000.0,12000.0,0.0,0.0,COMPLETED
ADM-2026-00249,Pari Pillai,11th Grade,D,22000.0,22000.0,0.0,0.0,COMPLETED
ADM-2026-00250,Meera Bose,12th Grade,A,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00251,Reyansh Joshi,11th Grade,B,18000.0,18000.0,0.0,0.0,COMPLETED
ADM-2026-00252,Riya Gupta,9th Grade,C,22000.0,2979.4,19020.6,250.0,DEFAULT_AGED
ADM-2026-00253,Diya Reddy,10th Grade,C,15000.0,15000.0,0.0,0.0,COMPLETED
ADM-2026-00254,Pooja Joshi,9th Grade,D,18000.0,1924.5,16075.5,500.0,DEFAULT_AGED
ADM-2026-00255,Aarav Joshi,9th Grade,D,15000.0,283.38,14716.62,500.0,DEFAULT_AGED
ADM-2026-00256,Meera Choudhury,9th Grade,D,18000.0,9325.71,8674.29,0.0,PENDING_DUE
ADM-2026-00257,Rohan Nair,11th Grade,C,18000.0,800.26,17199.74,250.0,DEFAULT_AGED
ADM-2026-00258,Pari Rao,11th Grade,D,15000.0,4714.86,10285.14,0.0,PENDING_DUE
ADM-2026-00259,Anjali Iyer,12th Grade,C,12000.0,3640.67,8359.33,0.0,PENDING_DUE
ADM-2026-00260,Vikas Reddy,9th Grade,A,22000.0,22000.0,0.0,0.0,COMPLETED
